Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NCarsGroup,NChildrenAtHomeGroup,TotalChildrenGroup,YearlyIncome,Age,AveMonthSpend,log_AveMonthSpend,BikeBuyer
Bachelors ,Clerical,F,M,1,No,No,1,42862,55.0,46,3.828641396489095,0
Partial College,Manual,M,S,0,1-2,No,No,21389,17.0,58,4.060443010546419,0
Partial College,Manual,M,M,0,1-2,No,No,29906,18.0,61,4.110873864173311,0
Partial College,Manual,M,M,0,1-2,No,No,17472,18.0,63,4.143134726391533,0
Partial College,Manual,M,M,1,1-2,No,No,22024,18.0,62,4.127134385045092,0
Partial College,Manual,F,M,0,1-2,No,No,16652,19.0,46,3.828641396489095,0
High School,Manual,F,S,0,1-2,No,No,17728,20.0,38,3.6375861597263857,0
Bachelors ,Clerical,M,M,1,No,No,No,24470,18.0,64,4.1588830833596715,0
Bachelors ,Clerical,M,M,1,No,No,No,37971,19.0,70,4.248495242049359,0
Partial College,Manual,M,M,1,No,No,1,18321,54.0,57,4.04305126783455,0
Partial College,Manual,M,M,1,No,>=1,1,22704,36.0,75,4.31748811353631,1
Partial College,Manual,M,S,0,No,>=1,1,23417,36.0,65,4.174387269895637,1
High School,Manual,M,M,1,1-2,>=1,1,21844,37.0,77,4.343805421853684,0
Partial College,Manual,M,S,0,No,>=1,1,20446,37.0,71,4.2626798770413155,0
Partial College,Manual,M,S,0,No,>=1,1,26224,37.0,71,4.2626798770413155,0
Partial College,Manual,F,S,1,1-2,No,2,22247,39.0,40,3.6888794541139363,0
Graduate Degree,Clerical,F,M,1,No,No,1,58482,39.0,49,3.8918202981106265,0
Graduate Degree,Clerical,F,M,1,No,No,1,62467,39.0,48,3.871201010907891,0
Bachelors ,Clerical,F,M,1,No,No,3,41863,37.0,48,3.871201010907891,0
Bachelors ,Clerical,F,M,1,No,No,3,53418,37.0,50,3.912023005428146,0
Bachelors ,Clerical,M,M,1,No,No,3,65435,38.0,83,4.418840607796598,0
Bachelors ,Clerical,F,M,1,No,No,3,52843,38.0,48,3.871201010907891,1
Bachelors ,Clerical,M,M,1,No,No,3,72863,38.0,75,4.31748811353631,1
Bachelors ,Clerical,M,S,1,No,No,1,57507,39.0,72,4.276666119016055,0
High School,Manual,F,S,1,No,>=1,2,18988,27.0,60,4.0943445622221,0
Bachelors ,Clerical,F,M,1,No,No,No,58725,27.0,48,3.871201010907891,0
Bachelors ,Clerical,M,M,1,No,No,No,64289,27.0,71,4.2626798770413155,0
High School,Manual,F,S,1,1-2,>=1,2,16167,28.0,49,3.8918202981106265,0
Partial College,Manual,M,S,0,1-2,No,No,20615,28.0,56,4.02535169073515,0
Bachelors ,Clerical,M,S,1,No,No,No,43450,28.0,68,4.219507705176107,1
Graduate Degree,Skilled Manual,F,S,1,No,No,No,55899,28.0,49,3.8918202981106265,1
Graduate Degree,Skilled Manual,F,M,1,No,No,No,69890,28.0,48,3.871201010907891,0
Partial College,Manual,M,M,0,1-2,No,3,22736,45.0,68,4.219507705176107,0
Partial College,Manual,F,M,1,1-2,No,2,22184,45.0,45,3.8066624897703196,0
Partial College,Manual,M,S,1,1-2,No,3,25839,46.0,53,3.970291913552122,0
High School,Manual,M,M,0,1-2,No,3,20855,46.0,63,4.143134726391533,0
High School,Manual,F,S,1,1-2,>=1,2,23348,44.0,53,3.970291913552122,0
High School,Manual,F,S,1,1-2,>=1,2,15627,29.0,51,3.9318256327243257,0
High School,Manual,F,M,0,No,>=1,3,10869,29.0,61,4.110873864173311,0
Partial College,Manual,M,M,1,No,>=1,1,26456,29.0,76,4.330733340286331,1
Bachelors ,Clerical,F,M,1,No,No,1,59894,29.0,47,3.8501476017100584,0
Bachelors ,Clerical,M,M,1,No,>=1,1,52738,29.0,87,4.465908118654584,1
Graduate Degree,Clerical,F,M,1,No,No,No,58283,29.0,50,3.912023005428146,0
Graduate Degree,Clerical,F,M,1,No,No,No,58661,29.0,52,3.9512437185814275,1
High School,Manual,M,S,1,1-2,>=1,3,12440,30.0,83,4.418840607796598,1
Partial High School,Manual,M,S,1,1-2,>=1,3,17243,30.0,88,4.477336814478207,1
Partial College,Manual,M,S,0,1-2,>=1,1,23859,30.0,72,4.276666119016055,1
Partial College,Manual,M,M,1,1-2,>=1,1,41019,30.0,80,4.382026634673881,1
Partial College,Manual,F,S,0,1-2,>=1,1,28739,30.0,53,3.970291913552122,1
Bachelors ,Clerical,M,S,0,No,>=1,1,62450,30.0,83,4.418840607796598,1
Bachelors ,Clerical,M,S,0,1-2,>=1,1,59095,30.0,82,4.406719247264253,1
High School,Manual,F,S,0,1-2,>=1,1,33036,31.0,50,3.912023005428146,1
High School,Manual,M,M,1,1-2,>=1,1,23638,31.0,79,4.3694478524670215,0
High School,Manual,M,S,0,1-2,>=1,1,16289,31.0,69,4.23410650459726,0
Bachelors ,Clerical,M,M,1,No,No,No,61730,30.0,76,4.330733340286331,0
Bachelors ,Clerical,F,M,1,No,No,No,54152,30.0,55,4.007333185232471,0
Bachelors ,Clerical,F,M,1,No,No,No,52274,30.0,50,3.912023005428146,0
Bachelors ,Clerical,M,M,1,1-2,>=1,1,60668,31.0,90,4.499809670330265,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,56915,31.0,57,4.04305126783455,0
Partial High School,Manual,M,S,1,1-2,>=1,4,17812,32.0,87,4.465908118654584,0
High School,Manual,F,S,1,No,>=1,2,20431,32.0,52,3.9512437185814275,0
High School,Manual,M,S,1,1-2,>=1,2,23113,32.0,78,4.356708826689592,1
High School,Manual,M,S,1,1-2,>=1,2,12289,32.0,81,4.394449154672439,1
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,66816,32.0,88,4.477336814478207,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,52261,32.0,54,3.9889840465642745,0
Partial High School,Manual,F,S,1,1-2,>=1,3,16504,33.0,48,3.871201010907891,0
High School,Manual,M,S,1,No,>=1,3,25133,33.0,93,4.532599493153256,1
High School,Manual,M,S,1,No,>=1,3,24920,33.0,85,4.442651256490317,1
High School,Manual,F,S,1,No,>=1,3,19823,33.0,59,4.07753744390572,0
Bachelors ,Professional,F,M,0,No,No,No,63562,31.0,52,3.9512437185814275,0
Bachelors ,Professional,M,M,1,No,No,No,79357,31.0,86,4.454347296253507,0
Bachelors ,Professional,F,M,1,No,No,No,56481,31.0,48,3.871201010907891,0
Bachelors ,Professional,M,M,1,No,No,No,69954,31.0,73,4.290459441148391,0
Partial College,Clerical,F,S,1,No,>=1,2,41332,34.0,55,4.007333185232471,0
Partial College,Clerical,M,S,1,No,>=1,2,66381,34.0,95,4.553876891600541,1
Partial College,Clerical,F,M,0,1-2,>=1,2,60783,32.0,68,4.219507705176107,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,52091,32.0,50,3.912023005428146,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,61458,32.0,70,4.248495242049359,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,54556,32.0,50,3.912023005428146,0
Partial College,Clerical,M,S,1,1-2,>=1,2,54329,33.0,93,4.532599493153256,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,51214,33.0,46,3.828641396489095,0
Partial College,Clerical,M,S,1,1-2,>=1,2,74649,34.0,93,4.532599493153256,1
Partial College,Clerical,M,S,1,1-2,>=1,2,50970,34.0,88,4.477336814478207,1
Partial College,Clerical,F,S,1,No,>=1,3,36485,34.0,65,4.174387269895637,0
High School,Manual,M,S,0,1-2,No,No,24680,20.0,53,3.970291913552122,0
Partial College,Clerical,M,S,1,1-2,>=1,3,56475,18.0,100,4.605170185988092,1
High School,Manual,M,S,1,1-2,No,No,14898,19.0,62,4.127134385045092,1
Bachelors ,Skilled Manual,M,M,1,No,No,1,67424,34.0,73,4.290459441148391,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,49869,34.0,52,3.9512437185814275,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,48386,34.0,44,3.784189633918261,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,64242,34.0,80,4.382026634673881,1
Partial College,Clerical,F,S,1,1-2,No,1,47087,35.0,44,3.784189633918261,0
Bachelors ,Skilled Manual,M,M,1,1-2,No,1,70277,35.0,79,4.3694478524670215,1
Bachelors ,Skilled Manual,F,M,1,1-2,No,1,61096,35.0,51,3.9318256327243257,0
Partial College,Clerical,M,S,1,1-2,>=1,3,49612,19.0,97,4.574710978503383,1
Partial College,Clerical,F,S,1,1-2,>=1,4,35108,19.0,68,4.219507705176107,1
Partial College,Clerical,M,S,1,>=3,>=1,4,36203,19.0,101,4.61512051684126,0
High School,Manual,M,S,0,1-2,No,No,22916,20.0,54,3.9889840465642745,0
Partial College,Clerical,M,S,0,1-2,No,No,41993,20.0,60,4.0943445622221,0
High School,Manual,F,S,1,1-2,No,No,21057,21.0,42,3.7376696182833684,0
High School,Manual,F,S,0,1-2,No,No,19382,21.0,41,3.713572066704308,0
High School,Manual,M,S,0,1-2,No,No,22631,22.0,51,3.9318256327243257,0
High School,Manual,F,S,0,1-2,No,No,18489,21.0,40,3.6888794541139363,0
Partial College,Clerical,M,S,0,1-2,No,No,59534,21.0,64,4.1588830833596715,1
Partial College,Clerical,M,S,0,1-2,No,No,60529,21.0,74,4.30406509320417,1
Partial High School,Manual,F,S,1,1-2,No,No,19254,23.0,43,3.7612001156935624,1
Partial College,Clerical,M,S,0,1-2,No,No,58217,22.0,59,4.07753744390572,0
Partial College,Clerical,F,S,0,1-2,No,No,50279,22.0,42,3.7376696182833684,0
Bachelors ,Skilled Manual,M,M,1,No,>=1,1,56650,22.0,87,4.465908118654584,0
Partial High School,Manual,M,S,0,1-2,No,No,24046,24.0,58,4.060443010546419,0
Partial High School,Manual,M,S,0,1-2,No,No,16800,24.0,55,4.007333185232471,0
Partial High School,Manual,F,S,0,1-2,No,No,13447,24.0,44,3.784189633918261,0
Partial College,Clerical,M,S,0,1-2,No,No,40417,23.0,66,4.189654742026425,1
Partial College,Clerical,F,M,0,1-2,No,No,48505,23.0,46,3.828641396489095,0
Partial High School,Manual,M,S,0,1-2,No,No,15175,17.0,54,3.9889840465642745,0
Partial College,Clerical,M,S,0,1-2,No,No,73698,19.0,72,4.276666119016055,1
Partial College,Clerical,M,S,0,1-2,No,No,43928,19.0,61,4.110873864173311,0
High School,Manual,M,S,0,1-2,No,No,28831,19.0,63,4.143134726391533,1
High School,Manual,M,S,0,1-2,No,No,57074,19.0,64,4.1588830833596715,0
High School,Skilled Manual,M,M,0,1-2,>=1,4,43738,36.0,93,4.532599493153256,1
Partial College,Skilled Manual,M,M,1,1-2,No,1,92179,36.0,77,4.343805421853684,1
High School,Skilled Manual,M,S,1,1-2,>=1,4,46249,37.0,91,4.51085950651685,1
High School,Skilled Manual,F,S,1,>=3,>=1,4,40835,37.0,59,4.07753744390572,0
Bachelors ,Professional,M,S,1,1-2,No,No,84356,37.0,76,4.330733340286331,0
Bachelors ,Professional,M,S,1,1-2,No,No,62791,37.0,75,4.31748811353631,0
Bachelors ,Professional,M,S,0,1-2,No,No,66627,37.0,67,4.204692619390966,0
Partial College,Skilled Manual,M,S,1,1-2,No,No,59771,30.0,68,4.219507705176107,0
Graduate Degree,Professional,M,S,0,1-2,No,No,115871,30.0,76,4.330733340286331,0
Graduate Degree,Professional,M,S,1,1-2,No,No,107351,30.0,80,4.382026634673881,1
Graduate Degree,Professional,F,S,0,1-2,No,No,104589,30.0,60,4.0943445622221,0
High School,Skilled Manual,F,M,1,1-2,No,4,28525,69.0,38,3.6375861597263857,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,85389,37.0,51,3.9318256327243257,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,68596,37.0,53,3.970291913552122,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,67814,37.0,52,3.9512437185814275,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,76322,37.0,53,3.970291913552122,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,72783,37.0,49,3.8918202981106265,0
Bachelors ,Professional,M,S,0,1-2,>=1,3,93868,39.0,102,4.624972813284271,1
Bachelors ,Professional,F,M,1,1-2,>=1,3,87852,39.0,70,4.248495242049359,1
Bachelors ,Clerical,M,M,1,No,No,3,53493,37.0,74,4.30406509320417,0
Bachelors ,Clerical,F,M,1,No,No,3,65677,37.0,55,4.007333185232471,0
Bachelors ,Clerical,F,M,1,No,No,No,41250,38.0,50,3.912023005428146,0
Graduate Degree,Clerical,M,S,1,No,No,3,73103,38.0,77,4.343805421853684,1
Graduate Degree,Clerical,F,S,1,No,No,3,57112,38.0,44,3.784189633918261,0
Graduate Degree,Clerical,M,S,1,No,No,3,60242,38.0,68,4.219507705176107,0
High School,Manual,M,S,0,1-2,>=1,1,20779,27.0,66,4.189654742026425,0
Partial College,Manual,F,S,0,1-2,No,No,17489,27.0,41,3.713572066704308,0
Partial College,Manual,F,S,0,1-2,No,No,17454,27.0,43,3.7612001156935624,0
High School,Manual,M,S,1,No,>=1,2,14794,28.0,76,4.330733340286331,0
High School,Manual,M,M,0,No,>=1,2,10768,28.0,83,4.418840607796598,0
Bachelors ,Clerical,M,S,1,No,No,No,59611,27.0,72,4.276666119016055,0
Bachelors ,Clerical,M,M,1,No,No,No,72300,27.0,76,4.330733340286331,0
Bachelors ,Clerical,M,S,1,No,No,No,61655,27.0,71,4.2626798770413155,0
Bachelors ,Clerical,F,M,1,1-2,No,2,36211,77.0,29,3.367295829986474,0
Partial College,Manual,F,S,0,1-2,No,No,12189,28.0,37,3.6109179126442243,1
Partial College,Manual,M,S,0,1-2,No,No,23881,28.0,59,4.07753744390572,0
Bachelors ,Clerical,F,M,1,No,No,No,47838,28.0,48,3.871201010907891,0
Bachelors ,Clerical,M,S,1,No,No,No,54293,28.0,67,4.204692619390966,0
Bachelors ,Clerical,M,M,0,No,No,No,63434,28.0,76,4.330733340286331,0
Bachelors ,Clerical,M,M,1,No,No,1,64461,28.0,77,4.343805421853684,1
Graduate Degree,Clerical,F,S,1,No,No,No,56035,28.0,46,3.828641396489095,0
Graduate Degree,Clerical,F,M,1,No,No,No,61302,28.0,51,3.9318256327243257,0
Graduate Degree,Clerical,M,S,1,No,No,No,84399,28.0,70,4.248495242049359,0
Graduate Degree,Clerical,F,M,1,No,No,No,50284,28.0,54,3.9889840465642745,0
Graduate Degree,Clerical,M,S,1,No,No,No,77415,28.0,71,4.2626798770413155,0
Graduate Degree,Skilled Manual,M,S,1,No,No,No,69630,28.0,68,4.219507705176107,0
Partial College,Manual,M,M,1,1-2,No,2,26501,46.0,69,4.23410650459726,0
High School,Manual,F,M,0,1-2,>=1,2,11522,29.0,59,4.07753744390572,0
High School,Manual,F,M,0,1-2,>=1,2,19547,29.0,60,4.0943445622221,0
Graduate Degree,Clerical,F,M,1,No,No,No,60547,29.0,44,3.784189633918261,0
Partial College,Manual,F,S,0,1-2,>=1,1,21102,30.0,47,3.8501476017100584,0
High School,Manual,M,M,0,1-2,No,4,16453,71.0,46,3.828641396489095,0
Bachelors ,Clerical,M,M,1,No,>=1,1,54953,30.0,86,4.454347296253507,0
High School,Skilled Manual,F,M,1,1-2,No,4,14181,52.0,43,3.7612001156935624,0
Bachelors ,Clerical,M,M,1,No,No,No,73766,30.0,75,4.31748811353631,0
Bachelors ,Clerical,F,M,1,No,No,No,50996,30.0,50,3.912023005428146,0
Bachelors ,Clerical,M,M,1,No,No,No,64669,30.0,76,4.330733340286331,1
Bachelors ,Clerical,M,S,1,No,No,No,65476,30.0,66,4.189654742026425,0
High School,Manual,M,M,1,1-2,No,2,26777,70.0,50,3.912023005428146,0
Partial College,Manual,F,S,1,1-2,No,1,25379,70.0,35,3.5553480614894135,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,59814,31.0,87,4.465908118654584,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,60354,31.0,58,4.060443010546419,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,70972,31.0,94,4.543294782270004,0
Partial High School,Manual,F,S,1,1-2,>=1,4,28878,32.0,56,4.02535169073515,1
High School,Manual,F,S,1,1-2,>=1,2,19510,32.0,57,4.04305126783455,0
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,60259,32.0,59,4.07753744390572,1
High School,Manual,M,M,0,1-2,No,4,30406,68.0,55,4.007333185232471,0
High School,Manual,F,S,1,1-2,No,4,14973,68.0,29,3.367295829986474,0
Partial High School,Manual,F,M,0,1-2,>=1,3,14619,33.0,57,4.04305126783455,0
Partial High School,Manual,M,S,1,1-2,>=1,3,22763,34.0,86,4.454347296253507,1
Partial High School,Manual,F,S,1,1-2,>=1,3,22415,34.0,51,3.9318256327243257,1
High School,Manual,F,S,1,1-2,>=1,3,24126,34.0,61,4.110873864173311,0
High School,Manual,M,S,1,1-2,>=1,3,31110,34.0,93,4.532599493153256,1
High School,Manual,F,S,1,>=3,>=1,3,23610,34.0,64,4.1588830833596715,1
High School,Manual,M,S,1,>=3,>=1,3,28349,34.0,91,4.51085950651685,1
Bachelors ,Professional,F,S,1,No,No,No,67078,31.0,46,3.828641396489095,0
Bachelors ,Professional,F,M,0,No,No,No,66349,31.0,52,3.9512437185814275,1
Bachelors ,Professional,F,M,1,No,No,No,57561,31.0,53,3.970291913552122,0
Bachelors ,Professional,M,M,1,No,No,No,65282,31.0,75,4.31748811353631,1
Graduate Degree,Skilled Manual,F,M,1,No,No,No,91257,31.0,56,4.02535169073515,0
High School,Manual,F,S,1,1-2,>=1,4,16303,34.0,67,4.204692619390966,0
Partial College,Clerical,F,M,1,1-2,No,1,44520,35.0,44,3.784189633918261,0
Partial College,Clerical,M,M,1,1-2,No,1,44904,35.0,74,4.30406509320417,0
Partial College,Clerical,M,M,1,1-2,No,1,46919,35.0,65,4.174387269895637,0
Graduate Degree,Skilled Manual,F,M,1,No,No,1,58511,63.0,44,3.784189633918261,0
Partial College,Clerical,M,S,1,1-2,>=1,2,47899,32.0,91,4.51085950651685,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,58385,32.0,54,3.9889840465642745,0
Partial College,Clerical,M,M,0,1-2,>=1,2,55931,33.0,97,4.574710978503383,1
Partial College,Clerical,F,S,1,1-2,>=1,2,48361,33.0,57,4.04305126783455,1
Partial College,Clerical,F,S,1,1-2,>=1,2,50886,33.0,61,4.110873864173311,0
Partial College,Clerical,M,S,1,1-2,>=1,2,57627,33.0,91,4.51085950651685,1
Partial College,Clerical,M,S,1,1-2,>=1,2,51923,33.0,95,4.553876891600541,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,57468,33.0,53,3.970291913552122,0
High School,Manual,M,S,1,1-2,>=1,4,17460,18.0,95,4.553876891600541,0
Partial College,Clerical,M,S,1,1-2,>=1,3,59227,18.0,100,4.605170185988092,1
Partial College,Clerical,M,S,1,1-2,>=1,3,45366,18.0,99,4.59511985013459,0
Partial College,Clerical,F,S,1,1-2,>=1,3,48311,18.0,65,4.174387269895637,1
Bachelors ,Skilled Manual,M,M,1,No,No,1,59326,34.0,71,4.2626798770413155,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,60681,34.0,73,4.290459441148391,0
Partial College,Clerical,F,M,1,1-2,No,1,55100,35.0,58,4.060443010546419,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,43161,35.0,56,4.02535169073515,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,36519,35.0,40,3.6888794541139363,0
Bachelors ,Skilled Manual,M,M,1,1-2,No,1,66044,35.0,73,4.290459441148391,1
Partial College,Clerical,M,S,1,>=3,>=1,>=5,50873,20.0,118,4.770684624465665,1
Partial High School,Manual,M,M,0,1-2,No,No,20181,22.0,60,4.0943445622221,0
Partial College,Clerical,F,S,0,1-2,No,No,39110,21.0,41,3.713572066704308,0
Partial College,Clerical,M,S,0,1-2,No,No,47002,21.0,64,4.1588830833596715,1
Partial College,Clerical,M,M,0,1-2,No,No,60585,21.0,71,4.2626798770413155,0
Partial High School,Manual,M,M,1,1-2,No,No,16217,23.0,64,4.1588830833596715,0
Partial High School,Manual,F,S,0,1-2,No,No,11772,23.0,33,3.4965075614664802,0
Partial College,Clerical,F,S,1,1-2,No,No,43832,22.0,54,3.9889840465642745,1
Partial College,Clerical,F,S,0,1-2,No,No,38617,22.0,40,3.6888794541139363,0
Partial College,Clerical,M,S,0,1-2,No,No,44672,22.0,65,4.174387269895637,0
Partial College,Clerical,M,S,0,1-2,No,No,61271,22.0,69,4.23410650459726,0
Partial High School,Manual,F,S,1,1-2,No,No,13932,24.0,42,3.7376696182833684,0
Partial High School,Manual,F,S,0,1-2,No,No,20668,24.0,38,3.6375861597263857,0
Partial High School,Manual,M,M,0,1-2,No,No,24137,17.0,64,4.1588830833596715,0
Bachelors ,Professional,F,S,0,1-2,No,No,54984,37.0,41,3.713572066704308,1
Partial College,Skilled Manual,F,S,0,1-2,No,No,52186,30.0,48,3.871201010907891,0
Partial College,Skilled Manual,M,S,0,1-2,No,No,42054,30.0,64,4.1588830833596715,1
Partial College,Skilled Manual,F,S,0,1-2,No,No,48425,30.0,47,3.8501476017100584,0
Graduate Degree,Professional,F,S,0,1-2,No,No,86876,30.0,49,3.8918202981106265,1
Graduate Degree,Professional,F,S,1,1-2,No,No,90577,30.0,50,3.912023005428146,0
Graduate Degree,Professional,M,S,0,1-2,No,No,115359,30.0,77,4.343805421853684,0
Graduate Degree,Professional,F,S,1,1-2,No,No,83049,30.0,54,3.9889840465642745,0
Graduate Degree,Professional,F,S,0,1-2,No,No,105355,30.0,47,3.8501476017100584,1
Graduate Degree,Professional,M,S,1,1-2,No,No,103241,30.0,79,4.3694478524670215,0
Graduate Degree,Professional,M,S,0,1-2,No,No,126541,30.0,80,4.382026634673881,1
Partial College,Skilled Manual,F,M,1,1-2,No,1,82443,37.0,53,3.970291913552122,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,59632,37.0,51,3.9318256327243257,0
Partial College,Skilled Manual,M,M,0,1-2,No,1,87392,37.0,84,4.430816798843313,1
Partial College,Skilled Manual,F,M,1,1-2,No,1,69025,38.0,54,3.9889840465642745,0
Bachelors ,Professional,F,M,1,No,>=1,4,88098,38.0,83,4.418840607796598,0
Bachelors ,Professional,F,M,0,1-2,>=1,4,93318,38.0,86,4.454347296253507,0
Graduate Degree,Professional,M,M,1,1-2,No,1,126869,38.0,90,4.499809670330265,1
Graduate Degree,Professional,M,M,0,>=3,>=1,>=5,106034,38.0,155,5.043425116919247,1
Graduate Degree,Professional,F,M,1,>=3,>=1,>=5,101871,38.0,101,4.61512051684126,1
Bachelors ,Professional,M,S,1,1-2,No,1,104284,39.0,73,4.290459441148391,1
Bachelors ,Professional,F,M,1,1-2,No,1,73500,39.0,46,3.828641396489095,0
Bachelors ,Professional,F,M,1,1-2,No,1,82860,39.0,60,4.0943445622221,0
Bachelors ,Professional,M,M,1,1-2,No,1,98117,39.0,88,4.477336814478207,0
Graduate Degree,Professional,M,M,1,No,>=1,>=5,109029,39.0,141,4.948759890378168,1
Graduate Degree,Professional,F,M,0,1-2,>=1,>=5,111197,39.0,98,4.584967478670572,1
Graduate Degree,Professional,F,M,1,1-2,>=1,>=5,83707,39.0,90,4.499809670330265,1
Bachelors ,Professional,M,S,1,1-2,>=1,>=5,116618,39.0,132,4.882801922586371,1
Graduate Degree,Management,M,M,0,No,No,1,147182,28.0,82,4.406719247264253,0
Graduate Degree,Management,F,M,1,No,No,1,124729,28.0,56,4.02535169073515,0
Bachelors ,Professional,F,S,0,1-2,>=1,2,86706,29.0,65,4.174387269895637,1
Graduate Degree,Management,F,M,1,1-2,>=1,4,115880,27.0,91,4.51085950651685,0
Bachelors ,Professional,M,M,1,No,No,2,132508,27.0,88,4.477336814478207,0
Bachelors ,Professional,M,M,1,No,No,2,125184,27.0,88,4.477336814478207,1
Bachelors ,Professional,F,S,1,1-2,>=1,2,82888,29.0,70,4.248495242049359,0
Bachelors ,Professional,F,M,1,1-2,>=1,2,71477,29.0,70,4.248495242049359,0
Bachelors ,Professional,M,M,1,1-2,>=1,2,99303,29.0,115,4.74493212836325,1
Bachelors ,Professional,M,S,1,>=3,>=1,>=5,91886,29.0,143,4.962844630259907,1
Bachelors ,Professional,F,M,0,>=3,>=1,>=5,101493,30.0,100,4.605170185988092,1
Graduate Degree,Management,F,M,0,1-2,No,1,150115,28.0,57,4.04305126783455,0
Bachelors ,Professional,F,M,1,>=3,>=1,>=5,78089,30.0,100,4.605170185988092,0
Graduate Degree,Management,F,S,1,>=3,>=1,>=5,107063,30.0,95,4.553876891600541,1
Bachelors ,Professional,M,S,1,>=3,>=1,>=5,125874,31.0,151,5.017279836814924,1
Bachelors ,Professional,F,S,1,No,No,No,103259,31.0,54,3.9889840465642745,1
Bachelors ,Professional,M,M,1,No,No,No,134412,31.0,89,4.48863636973214,0
Bachelors ,Professional,M,M,1,1-2,>=1,3,91016,32.0,118,4.770684624465665,1
Bachelors ,Professional,F,M,1,1-2,>=1,3,60186,32.0,75,4.31748811353631,0
Bachelors ,Professional,M,M,1,1-2,>=1,3,97893,32.0,122,4.804021044733257,1
Bachelors ,Professional,M,M,1,>=3,>=1,>=5,106881,32.0,160,5.075173815233827,1
Bachelors ,Professional,F,S,1,>=3,>=1,>=5,88611,29.0,91,4.51085950651685,1
Bachelors ,Professional,M,M,1,>=3,>=1,>=5,102770,29.0,157,5.056245805348308,1
Bachelors ,Professional,M,S,0,1-2,No,No,117434,29.0,79,4.3694478524670215,1
Bachelors ,Professional,F,S,0,1-2,No,No,95369,29.0,48,3.871201010907891,0
Bachelors ,Professional,M,S,1,1-2,No,No,106569,29.0,72,4.276666119016055,1
Bachelors ,Professional,M,M,1,>=3,>=1,>=5,120195,29.0,157,5.056245805348308,1
Bachelors ,Professional,M,M,1,1-2,>=1,3,85811,33.0,123,4.812184355372417,1
Bachelors ,Professional,M,M,1,>=3,>=1,4,113618,33.0,146,4.983606621708336,1
Bachelors ,Professional,M,S,0,1-2,No,No,99330,33.0,78,4.356708826689592,1
Bachelors ,Professional,F,S,0,1-2,>=1,3,80209,34.0,65,4.174387269895637,1
Bachelors ,Professional,F,S,0,1-2,>=1,3,90804,34.0,73,4.290459441148391,0
Bachelors ,Professional,F,S,0,1-2,No,No,72818,34.0,52,3.9512437185814275,0
Bachelors ,Professional,M,S,0,1-2,No,No,94319,34.0,78,4.356708826689592,1
Bachelors ,Professional,M,S,0,1-2,No,No,103117,34.0,76,4.330733340286331,1
Bachelors ,Professional,M,M,1,No,>=1,4,121115,30.0,145,4.976733742420574,1
Bachelors ,Professional,F,M,1,1-2,No,1,73090,35.0,57,4.04305126783455,0
Partial College,Skilled Manual,M,M,0,1-2,No,1,95086,36.0,79,4.3694478524670215,1
Partial College,Skilled Manual,F,M,1,1-2,No,1,67711,36.0,54,3.9889840465642745,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,71248,27.0,94,4.543294782270004,0
Bachelors ,Professional,F,S,0,1-2,No,No,88818,31.0,49,3.8918202981106265,0
Graduate Degree,Management,F,S,0,1-2,No,No,157994,31.0,56,4.02535169073515,1
Partial College,Skilled Manual,M,M,1,1-2,No,1,78924,37.0,79,4.3694478524670215,0
Bachelors ,Professional,M,S,1,1-2,No,No,90394,32.0,76,4.330733340286331,0
Bachelors ,Professional,M,M,1,>=3,>=1,>=5,121348,32.0,164,5.099866427824199,1
Bachelors ,Professional,F,S,0,1-2,No,No,77509,33.0,48,3.871201010907891,0
Bachelors ,Professional,M,S,0,1-2,No,No,92394,34.0,73,4.290459441148391,1
Bachelors ,Professional,M,S,0,1-2,No,No,104060,34.0,75,4.31748811353631,1
Partial College,Skilled Manual,M,S,1,1-2,No,1,80270,35.0,74,4.30406509320417,0
